Position,TrackName,Artist,Streams,URL,Images
120,Falling,Trevor Daniel,6220866,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7,https://i.scdn.co/image/ab67616d0000b273626fb1736f04466054ff7dd4
121,Stuck with U (with Justin Bieber),Ariana Grande,6165811,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH,https://i.scdn.co/image/ab67616d0000b2732babb9dbd8f5146112f1bf86
122,La Curiosidad,Jay Wheeler,6154711,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz,https://i.scdn.co/image/ab67616d0000b273509c45194c1ef6c1cb509e5d
123,Take Me To Church,Hozier,6140664,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI,https://i.scdn.co/image/ab67616d0000b2737a9bf5f82e32d33d4503fe7b
124,Antes,Anuel AA,6123195,https://open.spotify.com/track/73O30uMI7n6DuzBmbtO7kC,https://i.scdn.co/image/ab67616d0000b2734cd780c0568c9798bb2e461b
125,Do I Wanna Know?,Arctic Monkeys,6104499,https://open.spotify.com/track/3rq5w4bQGigXOfdN30ATJt,https://i.scdn.co/image/ab67616d0000b2730acf7f2eefe5bd36efbc26b4
126,Life Is Good (feat. Drake),Future,6062353,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3,https://i.scdn.co/image/ab67616d0000b273935d8d5369bc55e74a39303e
127,Come & Go (with Marshmello),Juice WRLD,6045809,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG,https://i.scdn.co/image/ab67616d0000b2733e0698e4ae5ffb82a005aeeb
128,7 rings,Ariana Grande,6019970,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,https://i.scdn.co/image/ab67616d0000b27356ac7b86e090f307e218e9c8
129,If the World Was Ending - feat. Julia Michaels,JP Saxe,5998893,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ,https://i.scdn.co/image/ab67616d0000b273dedbec8cca43642f06533476
130,Dior,Pop Smoke,5978110,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep,https://i.scdn.co/image/ab67616d0000b2738fe5d04b06aff90f9fe796f5
131,Dreams - 2004 Remaster,Fleetwood Mac,5963662,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz,https://i.scdn.co/image/ab67616d0000b273e52a59a28efa4773dd2bfe1b
132,Se Te Nota (with Guaynaa),Lele Pons,5949256,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu,https://i.scdn.co/image/ab67616d0000b273b7ca812abc74e09faeeadbb7
133,Hello (feat. A Boogie Wit da Hoodie),Pop Smoke,5906289,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi,https://i.scdn.co/image/ab67616d0000b27346e1307c35579c3483ea7b03
134,SAD!,XXXTENTACION,5850746,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,https://i.scdn.co/image/ab67616d0000b273806c160566580d6335d1f16c
135,I Feel It Coming,The Weeknd,5846227,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt,https://i.scdn.co/image/ab67616d0000b273a048415db06a5b6fa7ec4e1a
136,Falling,Harry Styles,5815964,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
137,Facas - Ao Vivo,Diego & Victor Hugo,5810964,https://open.spotify.com/track/1ere9b9vDw2N3m9d4uiXxa,https://i.scdn.co/image/ab67616d0000b27351c17ddd64470c17a509d402
138,Put Your Records On,Ritt Momney,5793331,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9,https://i.scdn.co/image/ab67616d0000b273d52d8eb3be188231e120dbbd
139,Jeans,Justin Quiles,5783148,https://open.spotify.com/track/3GtnId3Cm1Xa6joCj08nzW,https://i.scdn.co/image/ab67616d0000b2737e4834db24f8b205e69e123b
140,Tusa,KAROL G,5738612,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY,https://i.scdn.co/image/ab67616d0000b273ddd3154c58e15a8bdb63bbcc
141,Martin & Gina,Polo G,5738377,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ,https://i.scdn.co/image/ab67616d0000b273339f780dfdbc38558ea0761d
142,SICKO MODE,Travis Scott,5707827,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,https://i.scdn.co/image/ab67616d0000b273072e9faef2ef7b6db63834a3
143,All We Got (feat. KIDDO),Robin Schulz,5694579,https://open.spotify.com/track/1FP9s72rDYty6mfoOEYKnE,https://i.scdn.co/image/ab67616d0000b273815f7de523fb03ff606b7943
144,Parce (feat. Justin Quiles),Maluma,5677681,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ,https://i.scdn.co/image/ab67616d0000b27387d15f78ec75621d40028baf
145,Bohemian Rhapsody - Remastered 2011,Queen,5674812,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv,https://i.scdn.co/image/ab67616d0000b273e319baafd16e84f0408af2a0
146,Ponte Pa' Mi,Justin Quiles,5661453,https://open.spotify.com/track/4C6BlqqMwjFzOXzqpTeoWR,https://i.scdn.co/image/ab67616d0000b27367d5f4746654567694e6196b
147,Wonder,Shawn Mendes,5653626,https://open.spotify.com/track/6ZuahEctZD6w75peme58hm,https://i.scdn.co/image/ab67616d0000b27337a5a19e52f8260b3b158e55
148,My Head & My Heart,Ava Max,5620421,https://open.spotify.com/track/1KixkQVDUHggZMU9dUobgm,https://i.scdn.co/image/ab67616d0000b2739a95e89d24214b94de36ccf7
149,Rain On Me (with Ariana Grande),Lady Gaga,5571074,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9,https://i.scdn.co/image/ab67616d0000b2736040effba89b9b00a6f6743a
150,Ride It,Regard,5533278,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ,https://i.scdn.co/image/ab67616d0000b2735c27813ae019011fcb370c78
151,"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",Ariana Grande,5528331,https://open.spotify.com/track/3jjBPF4NDMCU51psU8JPpR,https://i.scdn.co/image/ab67616d0000b27343d04ae192008a5113862faf
152,Godzilla (feat. Juice WRLD),Eminem,5519437,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ,https://i.scdn.co/image/ab67616d0000b2732f44aec83b20e40f3baef73c
153,Yellow,Coldplay,5495064,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg,https://i.scdn.co/image/ab67616d0000b2733d92b2ad5af9fbc8637425f0
154,Hayloft,Mother Mother,5456704,https://open.spotify.com/track/2kS6td1yvmpNgZTt1q5pQq,https://i.scdn.co/image/ab67616d0000b2736d82586633548d5c122ee00c
155,Just the Way You Are,Bruno Mars,5456698,https://open.spotify.com/track/7BqBn9nzAq8spo5e7cZ0dJ,https://i.scdn.co/image/ab67616d0000b27378c6c624a95d1bd02ba1fa02
156,Mood Swings (feat. Lil Tjay),Pop Smoke,5454929,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm,https://i.scdn.co/image/ab67616d0000b27377ada0863603903f57b34369
